date,portfolio_value,fold_id
2023-06-15,1000292.2,29
2023-06-16,1000376.31,29
2023-06-19,1000376.31,29
2023-06-20,1000376.31,29
2023-06-21,1000376.31,29
2023-06-22,1000376.31,29
2023-06-23,1000376.31,29
2023-06-26,1000376.31,29
2023-06-27,1000376.31,29
2023-06-28,1000376.31,29
2023-06-30,1000376.31,29
2023-07-03,1000376.31,29
2023-07-04,1000376.31,29
2023-07-05,1000376.31,29
2023-07-06,1000376.31,29
2023-07-07,1000376.31,29
2023-07-10,1000376.31,29
2023-07-11,1000376.31,29
2023-07-12,1000376.31,29
2023-07-13,1000376.31,29
2023-07-14,1000376.31,29
2023-07-17,1000376.31,29
2023-07-18,1000376.31,29
2023-07-19,1000376.31,29
2023-07-20,1000376.31,29
2023-07-21,1000376.31,29
2023-07-24,1000376.31,29
2023-07-25,1000376.31,29
2023-07-26,1000376.31,29
2023-07-27,1000376.31,29
2023-07-28,1000376.31,29
2023-07-31,1000376.31,29
2023-06-01,1000000.0,30
2023-06-02,1003061.0,30
2023-06-05,1003550.98,30
2023-06-06,1004435.15,30
2023-06-07,1006316.87,30
2023-06-08,1002818.81,30
2023-06-09,1004623.93,30
2023-06-12,1006219.61,30
2023-06-13,1009357.1,30
2023-06-14,1011405.78,30
2023-06-15,1011609.89,30
2023-06-16,1016207.04,30
2023-06-19,1014016.8,30
2023-06-20,1016101.09,30
2023-06-21,1015201.75,30
2023-06-22,1009356.59,30
2023-06-23,1006087.97,30
2023-06-26,1006621.68,30
2023-06-27,1006446.81,30
2023-06-28,1009090.45,30
2023-06-30,1010216.3,30
2023-07-03,1009668.57,30
2023-07-04,1008847.35,30
2023-07-05,1010259.41,30
2023-07-06,1012910.54,30
2023-07-07,1010250.76,30
2023-07-10,1008468.63,30
2023-07-11,1010119.9,30
2023-07-12,1010426.27,30
2023-07-13,1009723.75,30
2023-07-14,1010031.11,30
2023-07-17,1009970.39,30
2023-07-18,1009710.1,30
2023-07-19,1009671.92,30
2023-07-20,1009992.6,30
2023-07-21,1011183.51,30
2023-07-24,1011299.69,30
2023-07-25,1011367.47,30
2023-07-26,1011038.27,30
2023-07-27,1011193.19,30
2023-07-28,1010590.83,30
2023-07-31,1010590.83,30
2023-08-01,1010590.83,30
2023-08-02,1010590.83,30
2023-08-03,1010590.83,30
2023-08-04,1010590.83,30
2023-08-07,1010590.83,30
2023-08-08,1010590.83,30
2023-08-09,1010590.83,30
2023-08-10,1010590.83,30
2023-08-11,1010590.83,30
2023-08-14,1010590.83,30
2023-08-16,1010590.83,30
2023-08-17,1010590.83,30
2023-08-18,1010590.83,30
2023-08-21,1010590.83,30
2023-08-22,1010590.83,30
2023-08-23,1010590.83,30
2023-08-24,1010590.83,30
2023-08-25,1010590.83,30
2023-08-28,1010590.83,30
2023-08-29,1010590.83,30
2023-08-30,1010590.83,30
2023-08-31,1010590.83,30
2023-07-03,1000000.0,31
2023-07-04,999403.75,31
2023-07-05,998726.72,31
2023-07-06,1000765.43,31
2023-07-07,995336.87,31
2023-07-10,992121.41,31
2023-07-11,995782.11,31
2023-07-12,996566.72,31
2023-07-13,993360.27,31
2023-07-14,998051.88,31
2023-07-17,998467.22,31
2023-07-18,998950.17,31
2023-07-19,999668.96,31
2023-07-20,1001748.1,31
2023-07-21,999705.02,31
2023-07-24,995221.12,31
2023-07-25,994350.25,31
2023-07-26,993219.39,31
2023-07-27,993136.38,31
2023-07-28,993945.3,31
2023-07-31,993435.03,31
2023-08-01,993212.32,31
2023-08-02,993004.12,31
2023-08-03,993011.8,31
2023-08-04,993026.3,31
2023-08-07,993018.63,31
2023-08-08,992711.44,31
2023-08-09,992568.09,31
2023-08-10,992499.82,31
2023-08-11,992467.4,31
2023-08-14,992473.37,31
2023-08-16,993064.7,31
2023-08-17,993202.94,31
2023-08-18,992947.47,31
2023-08-21,992947.47,31
2023-08-22,992947.47,31
2023-08-23,992947.47,31
2023-08-24,992947.47,31
2023-08-25,992947.47,31
2023-08-28,992947.47,31
2023-08-29,992947.47,31
2023-08-30,992947.47,31
2023-08-31,992947.47,31
2023-09-01,992947.47,31
2023-09-04,992947.47,31
2023-09-05,992947.47,31
2023-09-06,992947.47,31
2023-09-07,992947.47,31
2023-09-08,992947.47,31
2023-09-11,992947.47,31
2023-09-12,992947.47,31
2023-09-13,992947.47,31
2023-09-14,992947.47,31
2023-09-15,992947.47,31
2023-09-18,992947.47,31
2023-09-20,992947.47,31
2023-09-21,992947.47,31
2023-09-22,992947.47,31
2023-09-25,992947.47,31
2023-09-26,992947.47,31
2023-09-27,992947.47,31
2023-09-28,992947.47,31
2023-09-29,992947.47,31
2023-08-01,1000000.0,32
2023-08-02,996269.9,32
2023-08-03,995718.87,32
2023-08-04,997816.37,32
2023-08-07,997997.5,32
2023-08-08,996972.82,32
2023-08-09,995832.82,32
2023-08-10,990838.29,32
2023-08-11,985160.41,32
2023-08-14,979755.31,32
2023-08-16,982217.87,32
2023-08-17,981337.27,32
2023-08-18,981072.64,32
2023-08-21,984159.72,32
2023-08-22,986166.14,32
2023-08-23,986178.39,32
2023-08-24,985582.4,32
2023-08-25,982375.2,32
2023-08-28,984128.49,32
2023-08-29,983795.35,32
2023-08-30,984977.93,32
2023-08-31,984061.2,32
2023-09-01,984475.71,32
2023-09-04,985234.32,32
2023-09-05,986302.49,32
2023-09-06,984666.76,32
2023-09-07,986215.9,32
2023-09-08,987902.34,32
2023-09-11,989047.37,32
2023-09-12,985895.14,32
2023-09-13,985892.37,32
2023-09-14,986084.1,32
2023-09-15,985855.23,32
2023-09-18,984193.19,32
2023-09-20,983680.92,32
