fold_id,symbol,sector,entry_date,exit_date,entry_price,exit_price,shares,position_value,confidence,kelly_fraction,exit_reason,pnl,return_pct,was_correct
24,GAIL.NS,Energy,2022-12-14,2022-12-23,83.34,79.48,712,59338.08,64,0.125,STOP,-2750.73,-4.6357,False
24,ONGC.NS,Energy,2022-12-01,2022-12-29,117.28,121.13,511,59930.08,64,0.125,MAX_AGE,1968.44,3.2846,False
24,HINDALCO.NS,Metals,2023-01-02,2023-01-04,477.63,452.57,121,57793.229999999996,64,0.125,STOP,-3031.8,-5.2459,False
24,JSWSTEEL.NS,Metals,2023-01-02,2023-01-04,763.99,725.56,75,57299.25,64,0.125,STOP,-2882.33,-5.0303,False
24,MANAPPURAM.NS,Finance,2023-01-03,2023-01-18,114.89,110.05,504,57904.56,64,0.125,STOP,-2440.5,-4.2147,False
24,HINDALCO.NS,Metals,2023-01-18,2023-01-27,493.22,469.74,116,57213.520000000004,64,0.125,STOP,-2724.22,-4.7615,False
24,SAIL.NS,Metals,2023-01-18,2023-01-30,86.72,83.04,663,57495.36,64,0.125,STOP,-2442.76,-4.2486,False
24,GAIL.NS,Energy,2023-01-23,2023-01-30,88.77,82.43,647,57434.189999999995,64,0.125,STOP,-4103.13,-7.1441,False
24,NATIONALUM.NS,Metals,2023-01-02,2023-01-31,70.64,71.19,821,57995.44,64,0.125,MAX_AGE,450.42,0.7766,False
24,PETRONET.NS,Energy,2023-01-23,2023-01-31,202.23,193.89,284,57433.32,64,0.125,STOP,-2369.37,-4.1254,False
24,WIPRO.NS,IT,2023-01-18,2023-02-16,188.11,191.71,305,57373.55,64,0.125,MAX_AGE,1098.43,1.9145,False
24,HCLTECH.NS,IT,2023-01-18,2023-02-16,966.8,986.92,59,57041.2,64,0.125,MAX_AGE,1187.36,2.0816,False
24,MGL.NS,Energy,2023-01-23,2023-02-21,816.99,836.82,70,57189.3,64,0.125,MAX_AGE,1387.96,2.427,False
